drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.09521826935755,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),high
docetaxel,10.0,59.66848992071375,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),high
vinorelbine,10.0,51.98654249752848,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),high
vinblastine,10.0,47.494379496735554,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),moderate
methotrexate,10.0,43.27536678383215,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),moderate
temsirolimus,10.0,43.226659052624456,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),moderate
MG-132,10.0,32.59213317086963,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),moderate
lestaurtinib,10.0,28.963698831083985,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),low
navitoclax,10.0,27.757559262433368,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),low
lapatinib,10.0,26.27180803362203,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),low
bortezomib,10.0,25.4851559663542,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),low
ABT-737,10.0,23.82682822841765,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),low
AZD-6482,10.0,23.14526067932418,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),low
foretinib,10.0,22.678512174214738,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),low
staurosporine,10.0,22.079381182169218,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),low
MK-1775,10.0,21.58542211055992,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),low
gemcitabine,10.0,19.549552673662696,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),low
sorafenib,10.0,18.719790537627457,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),low
epirubicin,10.0,18.268594581036076,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),low
nilotinib,10.0,16.298052484647126,PPARG(33); CCL2(16); HDAC2(14); HES1(11); CCND1(9),low
