drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,99.77842343316775,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),very_high
sirolimus,1.11,98.51362258335071,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),very_high
docetaxel,1.11,65.7215937038571,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),high
paclitaxel,10.0,65.02582758226049,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),high
vinorelbine,10.0,48.866543580646805,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),moderate
vinblastine,10.0,47.47318227174252,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),moderate
NVP-AUY922,1.11,34.28267959061195,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),moderate
methotrexate,10.0,33.59113143515901,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),moderate
NVP-BEZ235,10.0,33.4439689173357,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),moderate
lestaurtinib,10.0,32.16542497143673,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),moderate
epirubicin,10.0,31.782150483914634,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),moderate
camptothecin,1.11,30.93607315124998,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),moderate
gemcitabine,10.0,30.927457642795673,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),moderate
staurosporine,10.0,29.627901766555635,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),low
GDC-0941,10.0,28.76175908566988,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),low
tanespimycin,10.0,25.97184374657859,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),low
SN-38,1.11,25.631861176192075,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),low
nutlin-3,10.0,24.877667757916957,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),low
topotecan,1.11,22.6625908926301,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),low
lapatinib,10.0,22.439302592479365,KDM5A(25); AKT1(16); SRC(15); CASP3(14); AXIN1(10),low
