drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),very_high
sirolimus,1.11,99.05939072220586,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),very_high
docetaxel,1.11,66.26052834751096,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),high
paclitaxel,10.0,65.56476222591435,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),high
vinorelbine,10.0,49.40196860668687,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),moderate
vinblastine,10.0,48.00860729778259,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),moderate
NVP-AUY922,1.11,33.51369556975422,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),moderate
NVP-BEZ235,10.0,33.449201943869625,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),moderate
lestaurtinib,10.0,32.57424856273125,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),moderate
methotrexate,10.0,32.411723354339344,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),moderate
epirubicin,10.0,31.006332967855613,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),moderate
camptothecin,1.11,30.160255635190943,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),moderate
gemcitabine,10.0,29.748049561976046,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),low
staurosporine,10.0,28.31838263337666,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),low
GDC-0941,10.0,27.98594156961085,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),low
SN-38,1.11,24.856043660133047,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),low
tanespimycin,10.0,24.792435665758962,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),low
nutlin-3,10.0,23.705093172298643,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),low
topotecan,1.11,21.88677337657107,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),low
lapatinib,10.0,21.689147020019853,EGR1(20); CDK4(19); RB1(17); PPARG(16); HDAC2(13),low
