drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,71.19406651314105,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),very_high
docetaxel,10.0,61.76733816449721,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),high
vinorelbine,10.0,53.523603778140206,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),high
vinblastine,10.0,49.03144077734728,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),moderate
temsirolimus,10.0,46.3149205453867,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),moderate
methotrexate,10.0,45.896515546121634,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),moderate
MG-132,10.0,35.16972914444083,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),moderate
lestaurtinib,10.0,32.404448272603204,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),moderate
navitoclax,10.0,30.63652174078081,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),moderate
lapatinib,10.0,28.994166200804433,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),low
bortezomib,10.0,28.307670391855037,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),low
ABT-737,10.0,26.705790706765093,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),low
AZD-6482,10.0,25.967775104825026,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),low
staurosporine,10.0,25.520130623688402,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),low
foretinib,10.0,25.137781717958628,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),low
MK-1775,10.0,24.062861825812725,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),low
gemcitabine,10.0,22.519414868174035,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),low
epirubicin,10.0,21.993682310227907,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),low
sorafenib,10.0,20.826410456359937,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),low
nilotinib,10.0,18.681239016103262,CCL2(22); SRC(18); CCND1(14); CASP3(12); EGR1(9),low
