drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),very_high
sirolimus,1.11,99.24474965873145,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),very_high
docetaxel,1.11,66.44588728403654,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),high
paclitaxel,10.0,65.75012116243994,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),high
vinorelbine,10.0,49.58732754321249,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),moderate
vinblastine,10.0,48.193966234308206,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),moderate
NVP-BEZ235,10.0,33.76467193275459,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),moderate
NVP-AUY922,1.11,33.699054506279836,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),moderate
lestaurtinib,10.0,32.88971855161621,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),moderate
methotrexate,10.0,32.59708229086496,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),moderate
epirubicin,10.0,31.19169190438121,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),moderate
camptothecin,1.11,30.345614571716546,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),moderate
gemcitabine,10.0,29.93340849850165,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),low
staurosporine,10.0,28.633852622261603,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),low
GDC-0941,10.0,28.171300506136447,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),low
SN-38,1.11,25.041402596658642,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),low
tanespimycin,10.0,24.977794602284565,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),low
nutlin-3,10.0,23.89045210882424,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),low
topotecan,1.11,22.072132313096667,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),low
navitoclax,10.0,21.502066134419938,KDM5A(40); CHEK1(23); JUN(15); CDKN1B(13); EGR1(9),low
