drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),very_high
sirolimus,1.11,99.44108386821327,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),very_high
docetaxel,1.11,66.60859986836184,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),high
paclitaxel,10.0,65.91283374676523,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),high
vinorelbine,10.0,49.4360855974085,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),moderate
vinblastine,10.0,48.311701399993936,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),moderate
NVP-BEZ235,10.0,33.89720192591842,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),moderate
NVP-AUY922,1.11,33.82475100424236,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),moderate
lestaurtinib,10.0,33.03613397119008,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),moderate
methotrexate,10.0,32.72961228402881,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),moderate
epirubicin,10.0,31.18392872508837,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),moderate
camptothecin,1.11,30.50197066047599,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),moderate
gemcitabine,10.0,29.635948687231497,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),low
GDC-0941,10.0,28.35913024742988,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),low
staurosporine,10.0,28.171136023656985,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),low
SN-38,1.11,25.197758685418087,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),low
tanespimycin,10.0,25.130060195318638,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),low
nutlin-3,10.0,24.067050718435755,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),low
topotecan,1.11,22.22848840185611,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),low
navitoclax,10.0,21.464415280476647,RB1(32); PPARG(28); HSPB1(13); HES1(12); AKT1(10),low
