drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.02304350304681,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),very_high
docetaxel,10.0,60.59631515440306,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),high
vinorelbine,10.0,53.064454016732164,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),high
vinblastine,10.0,48.572291015939236,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),moderate
methotrexate,10.0,44.549840262784286,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),moderate
temsirolimus,10.0,43.330435475200304,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),moderate
MG-132,10.0,34.1719056572906,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),moderate
lestaurtinib,10.0,29.921237698996716,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),low
navitoclax,10.0,28.715098130346114,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),low
lapatinib,10.0,27.754736565245445,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),low
bortezomib,10.0,27.06492845277517,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),low
ABT-737,10.0,24.78436709633039,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),low
AZD-6482,10.0,24.574946880230772,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),low
foretinib,10.0,23.864351626685846,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),low
MK-1775,10.0,23.015108311466527,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),low
staurosporine,10.0,22.98228080248548,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),low
gemcitabine,10.0,20.824026152614827,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),low
sorafenib,10.0,19.62909191656517,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),low
epirubicin,10.0,19.17149420135234,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),low
nilotinib,10.0,17.375964003850786,EGR1(20); CCL2(18); HDAC2(16); CDK4(16); RB1(15),low
