drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.39394205838103,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),high
docetaxel,10.0,59.96721370973726,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),high
vinorelbine,10.0,52.28526628655199,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),high
vinblastine,10.0,47.79310328575906,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),moderate
methotrexate,10.0,44.1468313709978,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),moderate
temsirolimus,10.0,43.20664651381183,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),moderate
MG-132,10.0,33.50944810544973,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),moderate
lestaurtinib,10.0,28.943686292271344,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),low
navitoclax,10.0,27.717150115780036,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),low
lapatinib,10.0,27.143272620787684,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),low
bortezomib,10.0,26.356620553519846,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),low
AZD-6482,10.0,24.02931301539614,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),low
ABT-737,10.0,23.78641908176432,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),low
foretinib,10.0,22.93138561582378,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),low
MK-1775,10.0,22.45688669772557,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),low
staurosporine,10.0,22.059368643356592,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),low
gemcitabine,10.0,20.42101726082835,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),low
sorafenib,10.0,18.97266397923649,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),low
epirubicin,10.0,18.228185434382738,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),low
nilotinib,10.0,16.55092592625616,HDAC2(12); SRC(12); KDM5A(12); BRCA1(11); CCND1(10),low
