drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,67.601830927039,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),high
docetaxel,10.0,58.17510257839523,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),high
vinorelbine,10.0,50.49315515520997,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),high
vinblastine,10.0,46.00099215441704,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),moderate
methotrexate,10.0,42.283840408730946,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),moderate
temsirolimus,10.0,41.27740859628978,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),moderate
MG-132,10.0,31.600606795768392,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),moderate
lestaurtinib,10.0,27.069087622345794,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),low
navitoclax,10.0,25.862948053695206,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),low
lapatinib,10.0,25.33492090611732,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),low
bortezomib,10.0,24.493629591252997,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),low
AZD-6482,10.0,22.15373430422298,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),low
ABT-737,10.0,21.93221701967948,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),low
foretinib,10.0,21.185124831896232,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),low
MK-1775,10.0,20.593895735458734,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),low
staurosporine,10.0,20.130130725834572,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),low
gemcitabine,10.0,18.558026298561508,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),low
sorafenib,10.0,17.281042442905427,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),low
epirubicin,10.0,16.31934412470143,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),low
nilotinib,10.0,14.80466514232861,PPARG(34); CCL2(23); HES1(14); SRC(13); EGR1(10),low
