drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,1.11,100.0,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),very_high
temsirolimus,0.12,100.0,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),very_high
docetaxel,1.11,67.51371834684328,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),high
paclitaxel,10.0,66.81795222524667,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),high
vinorelbine,10.0,49.36873359717224,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),moderate
vinblastine,10.0,47.975372288267955,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),moderate
NVP-BEZ235,10.0,35.791376442230685,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),moderate
NVP-AUY922,1.11,35.22344185923297,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),moderate
lestaurtinib,10.0,34.28399485221,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),moderate
epirubicin,10.0,32.716079257334414,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),moderate
methotrexate,10.0,32.35778118194399,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),moderate
camptothecin,1.11,31.870001924669715,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),moderate
gemcitabine,10.0,31.539998981282,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),moderate
staurosporine,10.0,30.660557131737704,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),moderate
GDC-0941,10.0,29.2374213681701,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),low
tanespimycin,10.0,26.604120684935165,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),low
SN-38,1.11,26.565789949611773,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),low
nutlin-3,10.0,24.913080085721415,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),low
topotecan,1.11,23.596519666049804,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),low
lapatinib,10.0,23.57305502746141,RB1(42); HES1(33); CDK4(23); JUN(20); PPARG(20),low
