drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.57104435555483,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),high
docetaxel,10.0,60.14431600691107,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),high
vinorelbine,10.0,52.9777044944386,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),high
vinblastine,10.0,48.48554149364566,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),moderate
methotrexate,10.0,44.35516280722327,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),moderate
temsirolimus,10.0,44.28062168253174,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),moderate
MG-132,10.0,34.08515613499702,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),moderate
lestaurtinib,10.0,30.511361042807874,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),moderate
navitoclax,10.0,28.78419358084558,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),low
lapatinib,10.0,27.66798704295187,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),low
bortezomib,10.0,26.97817893048159,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),low
ABT-737,10.0,24.853462546829856,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),low
AZD-6482,10.0,24.455991946827176,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),low
staurosporine,10.0,23.572404146296623,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),low
foretinib,10.0,23.148646277813143,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),low
MK-1775,10.0,22.563109163974527,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),low
gemcitabine,10.0,20.6293486970538,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),low
sorafenib,10.0,19.76559178213402,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),low
epirubicin,10.0,19.76161754516349,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),low
nilotinib,10.0,17.289214481557206,PPARG(14); RB1(14); SRC(10); CCL2(8); AKT1(7),low
