drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.25999363175482,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),high
docetaxel,10.0,59.83326528311103,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),high
vinorelbine,10.0,52.18352327103579,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),high
vinblastine,10.0,47.69136027024286,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),moderate
methotrexate,10.0,43.63894997613848,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),moderate
temsirolimus,10.0,43.436903182130244,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),moderate
MG-132,10.0,33.46245439824908,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),moderate
lestaurtinib,10.0,29.157147192358703,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),low
navitoclax,10.0,27.950607136450174,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),low
lapatinib,10.0,26.855629548434752,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),low
bortezomib,10.0,26.35547719373367,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),low
ABT-737,10.0,24.019876102434456,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),low
AZD-6482,10.0,23.983376495593642,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),low
foretinib,10.0,22.892288715953093,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),low
staurosporine,10.0,22.272829543443972,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),low
MK-1775,10.0,22.055839149069335,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),low
gemcitabine,10.0,20.419873901042173,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),low
epirubicin,10.0,18.46204294231083,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),low
sorafenib,10.0,18.217895212244837,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),low
nilotinib,10.0,16.511829026385474,CDK4(19); PPARG(16); CHEK1(13); HSPA8(13); HES1(13),low
