drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),very_high
sirolimus,1.11,99.51645625509038,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),very_high
docetaxel,1.11,66.69785828052524,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),high
paclitaxel,10.0,66.00209215892863,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),high
vinorelbine,10.0,49.79190604566594,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),moderate
vinblastine,10.0,48.39854473676166,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),moderate
NVP-BEZ235,10.0,33.96574081759424,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),moderate
NVP-AUY922,1.11,33.900123391119486,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),moderate
lestaurtinib,10.0,33.09078743645586,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),moderate
methotrexate,10.0,32.798151175704604,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),moderate
epirubicin,10.0,31.392760789220876,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),moderate
camptothecin,1.11,30.546683456556206,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),moderate
gemcitabine,10.0,30.13447738334131,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),moderate
staurosporine,10.0,28.83492150710127,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),low
GDC-0941,10.0,28.372369390976115,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),low
SN-38,1.11,25.24247148149831,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),low
tanespimycin,10.0,25.198599086994466,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),low
nutlin-3,10.0,24.14242310531289,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),low
topotecan,1.11,22.273201197936334,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),low
lapatinib,10.0,22.075574841385116,JUN(25); KDM5A(22); RB1(20); HSPB1(12); AKT1(11),low
