drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),very_high
sirolimus,1.11,99.40383469234008,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),very_high
docetaxel,1.11,66.61180581284647,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),high
paclitaxel,10.0,65.91603969124986,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),high
vinorelbine,10.0,49.741960862158095,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),moderate
vinblastine,10.0,48.34859955325381,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),moderate
NVP-BEZ235,10.0,34.5630186704468,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),moderate
NVP-AUY922,1.11,33.858139539888434,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),moderate
methotrexate,10.0,33.249752058589586,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),moderate
lestaurtinib,10.0,33.055637080426116,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),moderate
epirubicin,10.0,31.357610433191113,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),moderate
gemcitabine,10.0,30.731755236193855,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),moderate
camptothecin,1.11,30.511533100526442,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),moderate
staurosporine,10.0,29.432199359953817,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),low
GDC-0941,10.0,28.33721903494635,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),low
tanespimycin,10.0,25.77614133997678,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),low
SN-38,1.11,25.207321125468546,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),low
nutlin-3,10.0,24.681965351315146,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),low
lapatinib,10.0,22.672852694237662,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),low
topotecan,1.11,22.23805084190657,JUN(41); KDM5A(30); HSPB1(15); EGR1(15); HDAC2(14),low
