drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,73.80061683506584,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),very_high
docetaxel,10.0,64.37388848642209,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),high
vinorelbine,10.0,56.82008730757278,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),high
vinblastine,10.0,52.32792430677984,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),high
temsirolimus,10.0,46.68592341705586,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),moderate
methotrexate,10.0,46.31113027865134,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),moderate
MG-132,10.0,36.165021366885014,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),moderate
lestaurtinib,10.0,33.39350961028326,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),moderate
navitoclax,10.0,31.516539752185817,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),moderate
lapatinib,10.0,30.747881179045496,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),moderate
bortezomib,10.0,30.203168813107066,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),moderate
foretinib,10.0,28.137036926291334,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),low
AZD-6482,10.0,27.713187240562668,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),low
ABT-737,10.0,27.5858087181701,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),low
staurosporine,10.0,26.45455271377196,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),low
MK-1775,10.0,26.24553425751608,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),low
sorafenib,10.0,24.232954537300536,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),low
gemcitabine,10.0,23.946524165396934,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),low
epirubicin,10.0,22.643766112638826,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),low
nilotinib,10.0,21.75657723672372,CCL2(19); HES1(16); RB1(13); HMGCR(10); CHEK1(8),low
