drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,1.11,100.0,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),very_high
temsirolimus,0.37,100.0,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),very_high
docetaxel,1.11,67.77714726393567,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),high
paclitaxel,10.0,67.08138114233907,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),high
vinorelbine,10.0,49.63216251426462,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),moderate
vinblastine,10.0,48.23880120536034,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),moderate
NVP-BEZ235,10.0,35.925907469914385,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),moderate
NVP-AUY922,1.11,35.486870776325354,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),moderate
lestaurtinib,10.0,34.547423769302384,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),moderate
epirubicin,10.0,32.825329575560104,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),moderate
methotrexate,10.0,32.63798917959532,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),moderate
camptothecin,1.11,32.13343084176214,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),moderate
gemcitabine,10.0,31.520351410099014,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),moderate
staurosporine,10.0,30.795088159421425,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),moderate
GDC-0941,10.0,29.50085028526252,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),low
SN-38,1.11,26.829218866704192,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),low
tanespimycin,10.0,26.738651712618886,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),low
nutlin-3,10.0,25.047611113405143,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),low
topotecan,1.11,23.859948583142216,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),low
lapatinib,10.0,23.278333546785024,KDM5A(27); CHEK1(27); HES1(24); JUN(19); PPARG(17),low
