drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),very_high
sirolimus,1.11,100.0,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),very_high
docetaxel,1.11,67.56717756008618,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),high
paclitaxel,10.0,66.87141143848957,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),high
vinorelbine,10.0,50.64643049774879,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),high
vinblastine,10.0,49.253069188844506,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),moderate
NVP-BEZ235,10.0,34.85234126458524,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),moderate
NVP-AUY922,1.11,34.769442670680434,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),moderate
lestaurtinib,10.0,33.99127330985691,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),moderate
methotrexate,10.0,33.667470455265594,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),moderate
epirubicin,10.0,32.1390680637552,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),moderate
camptothecin,1.11,31.45710999914283,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),moderate
gemcitabine,10.0,30.88078465787565,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),moderate
staurosporine,10.0,29.704240786662226,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),low
GDC-0941,10.0,29.258969837967125,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),low
SN-38,1.11,26.152898024084926,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),low
tanespimycin,10.0,26.06791836655542,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),low
nutlin-3,10.0,25.0290235523039,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),low
topotecan,1.11,23.18362774052295,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),low
lapatinib,10.0,22.515641612585956,HSPB1(29); EGR1(21); JUN(20); STAT3(18); KDM5A(17),low
