drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),very_high
sirolimus,1.11,99.79626933161961,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),very_high
docetaxel,1.11,66.97767135705448,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),high
paclitaxel,10.0,66.28190523545787,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),high
vinorelbine,10.0,50.06820950458138,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),high
vinblastine,10.0,48.6748481956771,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),moderate
NVP-BEZ235,10.0,34.24555389412348,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),moderate
NVP-AUY922,1.11,34.17993646764873,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),moderate
lestaurtinib,10.0,33.370600512985106,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),moderate
methotrexate,10.0,33.07796425223387,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),moderate
epirubicin,10.0,31.672573865750103,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),moderate
camptothecin,1.11,30.82649653308544,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),moderate
gemcitabine,10.0,30.414290459870543,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),moderate
staurosporine,10.0,29.114734583630497,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),low
GDC-0941,10.0,28.65218246750534,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),low
SN-38,1.11,25.522284558027536,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),low
tanespimycin,10.0,25.4784121635237,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),low
nutlin-3,10.0,24.422236181842116,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),low
topotecan,1.11,22.55301427446556,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),low
lapatinib,10.0,21.926135409554227,JUN(13); CCL2(11); CDK4(10); SRC(9); EGR1(8),low
