drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.9595797489097,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),high
docetaxel,10.0,60.532851400265955,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),high
vinorelbine,10.0,52.28911701390896,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),high
vinblastine,10.0,47.79695401311603,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),moderate
methotrexate,10.0,44.44469894782106,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),moderate
temsirolimus,10.0,43.79027603479104,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),moderate
MG-132,10.0,33.76376289355472,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),moderate
lestaurtinib,10.0,31.07351787715424,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),moderate
navitoclax,10.0,28.146119869940907,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),low
lapatinib,10.0,27.981483396091424,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),low
bortezomib,10.0,26.85585379355445,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),low
AZD-6482,10.0,24.528546255430744,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),low
ABT-737,10.0,24.21538883592519,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),low
staurosporine,10.0,24.13456098064299,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),low
foretinib,10.0,23.857444606312907,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),low
MK-1775,10.0,22.995539773503232,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),low
gemcitabine,10.0,21.067598269873447,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),low
epirubicin,10.0,20.587716059341798,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),low
sorafenib,10.0,19.654029817171917,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),low
nilotinib,10.0,17.400901904457534,RB1(87); CHEK1(26); CCL2(26); PPARG(20); HSPB1(18),low
