drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),very_high
sirolimus,1.11,100.0,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),very_high
docetaxel,1.11,69.29655506879676,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),high
paclitaxel,10.0,68.60078894720016,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),high
vinorelbine,10.0,55.56128221856799,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),high
vinblastine,10.0,54.16792090966371,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),high
NVP-BEZ235,10.0,41.03955782839818,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),moderate
NVP-AUY922,1.11,39.38619300674307,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),moderate
camptothecin,1.11,37.0118983540735,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),moderate
methotrexate,10.0,36.23128870427973,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),moderate
lestaurtinib,10.0,35.72628646951315,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),moderate
GDC-0941,10.0,34.986679539787524,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),moderate
epirubicin,10.0,33.874081223411515,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),moderate
gemcitabine,10.0,33.67578458315874,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),moderate
staurosporine,10.0,32.07168215520085,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),moderate
SN-38,1.11,31.880607725905318,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),moderate
nutlin-3,10.0,29.372685161509096,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),low
topotecan,1.11,28.911337442343275,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),low
tanespimycin,10.0,28.843182691968252,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),low
lapatinib,10.0,27.91464115593188,CCL2(25); KDM5A(22); PMAIP1(20); JUN(15); CASP3(14),low
