drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.56151874899838,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),very_high
docetaxel,10.0,61.13479040035457,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),high
vinorelbine,10.0,52.92326142510759,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),high
vinblastine,10.0,48.43109842431466,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),moderate
methotrexate,10.0,45.25032284567455,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),moderate
temsirolimus,10.0,43.50800113952661,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),moderate
MG-132,10.0,34.569386791408206,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),moderate
lestaurtinib,10.0,30.248543430159426,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),moderate
lapatinib,10.0,28.830462879772774,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),low
navitoclax,10.0,27.792009471591005,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),low
bortezomib,10.0,27.661477691407942,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),low
AZD-6482,10.0,25.289376993267908,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),low
foretinib,10.0,24.50838478574258,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),low
ABT-737,10.0,23.861278437575287,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),low
MK-1775,10.0,23.785754028477758,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),low
staurosporine,10.0,23.364225781244688,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),low
gemcitabine,10.0,21.873222167726933,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),low
sorafenib,10.0,20.581508070134987,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),low
epirubicin,10.0,19.817380859943487,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),low
nilotinib,10.0,18.051842083887216,CCL2(23); PMAIP1(17); CHEK1(13); KDM5A(13); ABL1(12),low
