drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.57632397385753,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),high
docetaxel,10.0,59.14959562521375,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),high
vinorelbine,10.0,51.02846882324382,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),high
vinblastine,10.0,46.53630582245089,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),moderate
methotrexate,10.0,43.80264190271254,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),moderate
temsirolimus,10.0,43.305651015592744,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),moderate
MG-132,10.0,33.1217058484462,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),moderate
lestaurtinib,10.0,30.431460832045712,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),moderate
navitoclax,10.0,27.975327360735204,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),low
lapatinib,10.0,27.339426350982887,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),low
bortezomib,10.0,26.21379674844592,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),low
ABT-737,10.0,24.04459632671948,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),low
AZD-6482,10.0,23.886489210322207,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),low
staurosporine,10.0,23.49250393553446,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),low
foretinib,10.0,22.282963905655155,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),low
MK-1775,10.0,22.23087514400764,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),low
gemcitabine,10.0,20.425541224764917,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),low
epirubicin,10.0,19.94565901423326,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),low
sorafenib,10.0,18.393381626506766,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),low
tanespimycin,10.0,16.15991263766264,RB1(76); EGR1(33); CDKN1B(33); CCL2(27); CHEK1(19),low
