drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),very_high
sirolimus,0.37,100.0,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),very_high
docetaxel,1.11,67.74953628367318,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),high
paclitaxel,10.0,67.41764666514233,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),high
vinorelbine,10.0,51.924817536788076,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),high
vinblastine,10.0,50.531456227883794,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),high
NVP-BEZ235,10.0,36.618250632669394,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),moderate
NVP-AUY922,1.11,35.426285354381776,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),moderate
methotrexate,10.0,35.41781390574148,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),moderate
lestaurtinib,10.0,35.11086904264871,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),moderate
epirubicin,10.0,33.38877484890641,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),moderate
gemcitabine,10.0,32.46686159123818,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),moderate
camptothecin,1.11,32.09012658724863,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),moderate
staurosporine,10.0,30.874903562977902,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),moderate
GDC-0941,10.0,30.22650398885736,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),moderate
tanespimycin,10.0,27.944203187128668,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),low
nutlin-3,10.0,26.874141861098398,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),low
SN-38,1.11,26.785914612190652,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),low
navitoclax,10.0,24.322243318355493,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),low
dactinomycin,10.0,23.924330317046408,RB1(21); HSPB1(20); CHEK1(13); JUN(12); KDM5A(12),low
