drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),very_high
sirolimus,1.11,100.0,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),very_high
docetaxel,1.11,67.39875759401271,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),high
paclitaxel,10.0,66.7029914724161,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),high
vinorelbine,10.0,49.23897801686352,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),moderate
vinblastine,10.0,47.84561670795924,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),moderate
NVP-BEZ235,10.0,35.1740985328771,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),moderate
NVP-AUY922,1.11,35.10848110640235,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),moderate
lestaurtinib,10.0,34.29914515173873,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),moderate
epirubicin,10.0,32.601118504503766,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),moderate
methotrexate,10.0,31.75606919019861,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),moderate
camptothecin,1.11,31.75504117183912,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),moderate
gemcitabine,10.0,30.792610019569086,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),moderate
staurosporine,10.0,30.04327922238413,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),moderate
GDC-0941,10.0,29.122460615339495,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),low
SN-38,1.11,26.450829196781168,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),low
tanespimycin,10.0,25.856731723222243,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),low
nutlin-3,10.0,24.165691124008493,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),low
topotecan,1.11,23.481558913219192,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),low
lapatinib,10.0,22.825666065748496,HES1(44); CASP3(15); CHEK1(13); GATA3(13); EGR1(12),low
