drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.55703734865953,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),high
docetaxel,10.0,60.13030900001574,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),high
vinorelbine,10.0,52.63065327345487,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),high
vinblastine,10.0,48.13849027266194,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),moderate
methotrexate,10.0,43.66427080532908,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),moderate
temsirolimus,10.0,43.65597663589273,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),moderate
MG-132,10.0,33.4401144805173,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),moderate
lestaurtinib,10.0,29.88671599616887,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),low
navitoclax,10.0,28.660179819677555,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),low
lapatinib,10.0,26.977095041057712,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),low
bortezomib,10.0,26.28728692858743,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),low
ABT-737,10.0,24.72944878566183,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),low
AZD-6482,10.0,23.765099944933016,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),low
foretinib,10.0,23.27677260272667,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),low
staurosporine,10.0,22.94775909965764,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),low
MK-1775,10.0,22.20526137616877,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),low
gemcitabine,10.0,19.938456695159648,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),low
sorafenib,10.0,19.372690213735872,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),low
epirubicin,10.0,19.116575890683787,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),low
nilotinib,10.0,16.896312913159058,CCL2(53); EGR1(35); SRC(27); RB1(19); HDAC2(18),low
