drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.53491876944591,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),very_high
docetaxel,10.0,61.10819042080209,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),high
vinorelbine,10.0,53.73734717052677,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),high
vinblastine,10.0,49.24518416973384,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),moderate
temsirolimus,10.0,45.78968219813665,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),moderate
methotrexate,10.0,43.85894691641096,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),moderate
MG-132,10.0,33.25376071649389,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),moderate
lestaurtinib,10.0,32.00356880954743,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),moderate
navitoclax,10.0,29.605571058138338,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),low
lapatinib,10.0,27.9793148308664,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),low
bortezomib,10.0,27.337758510130406,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),low
ABT-737,10.0,25.67484002412262,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),low
staurosporine,10.0,25.11925116063264,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),low
AZD-6482,10.0,25.0104509720067,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),low
foretinib,10.0,24.579119243348146,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),low
MK-1775,10.0,23.197166025965405,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),low
gemcitabine,10.0,21.494340803156582,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),low
epirubicin,10.0,21.308464559499505,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),low
sorafenib,10.0,21.14142550007254,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),low
nilotinib,10.0,18.71968744709221,HES1(53); CHEK1(21); CCL2(21); HDAC2(16); BRCA1(14),low
