drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.48629994321783,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),high
docetaxel,10.0,60.05957159457409,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),high
vinorelbine,10.0,52.377624171388824,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),high
vinblastine,10.0,47.885461170595896,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),moderate
methotrexate,10.0,44.1683094249098,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),moderate
temsirolimus,10.0,43.161877612468636,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),moderate
MG-132,10.0,33.485075811947254,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),moderate
lestaurtinib,10.0,28.95355663852462,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),low
navitoclax,10.0,27.747417069874032,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),low
lapatinib,10.0,26.834895376305063,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),low
bortezomib,10.0,26.37809860743183,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),low
AZD-6482,10.0,24.038203320401813,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),low
ABT-737,10.0,23.816686035858307,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),low
foretinib,10.0,23.06959384807506,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),low
MK-1775,10.0,22.09387020564647,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),low
staurosporine,10.0,22.0145997420134,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),low
gemcitabine,10.0,20.442495314740334,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),low
sorafenib,10.0,18.449839591963293,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),low
epirubicin,10.0,18.203813140880264,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),low
nilotinib,10.0,16.689134158507446,PPARG(16); PMAIP1(16); FYN(16); RB1(12); CCND1(9),low
