drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),very_high
sirolimus,1.11,99.87627482951945,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),very_high
docetaxel,1.11,67.04039568752425,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),high
paclitaxel,10.0,66.34462956592765,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),high
vinorelbine,10.0,50.11964862518691,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),high
vinblastine,10.0,48.72628731628263,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),moderate
NVP-AUY922,1.11,34.24266079811856,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),moderate
NVP-BEZ235,10.0,34.19544833966402,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),moderate
lestaurtinib,10.0,33.32049495852564,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),moderate
methotrexate,10.0,33.140688582703696,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),moderate
epirubicin,10.0,31.75257936364999,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),moderate
camptothecin,1.11,30.906502030985326,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),moderate
gemcitabine,10.0,30.494295957770422,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),moderate
staurosporine,10.0,29.04734786174098,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),low
GDC-0941,10.0,28.732187965405227,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),low
SN-38,1.11,25.602290055927423,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),low
tanespimycin,10.0,25.541136493993523,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),low
nutlin-3,10.0,24.502241679742003,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),low
topotecan,1.11,22.633019772365447,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),low
lapatinib,10.0,21.988859740024058,PPARG(16); KDM5A(13); CASP3(10); JUN(10); SMAD3(10),low
