drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.25609118781966,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),high
docetaxel,10.0,59.8293628391759,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),high
vinorelbine,10.0,52.147415415990636,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),high
vinblastine,10.0,47.65525241519771,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),moderate
methotrexate,10.0,44.06372980875201,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),moderate
temsirolimus,10.0,43.123544951566025,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),moderate
MG-132,10.0,33.42634654320393,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),moderate
lestaurtinib,10.0,28.860584730025547,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),low
navitoclax,10.0,27.634048553534253,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),low
lapatinib,10.0,26.67567651255081,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),low
bortezomib,10.0,26.273518991274063,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),low
AZD-6482,10.0,23.933623704244052,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),low
ABT-737,10.0,23.703317519518535,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),low
foretinib,10.0,22.793534745262438,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),low
MK-1775,10.0,21.989290589488704,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),low
staurosporine,10.0,21.976267081110816,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),low
gemcitabine,10.0,20.337915698582567,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),low
sorafenib,10.0,18.45031856268406,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),low
epirubicin,10.0,18.14508387213696,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),low
nilotinib,10.0,16.413075055694826,CDK4(76); KDM5A(61); CCL2(23); SRC(19); HES1(9),low
