drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),very_high
sirolimus,1.11,99.3882861698668,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),very_high
docetaxel,1.11,68.50189784350833,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),high
paclitaxel,10.0,67.80613172191173,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),high
vinorelbine,10.0,55.062395912345714,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),high
vinblastine,10.0,53.66903460344143,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),high
NVP-BEZ235,10.0,39.77813226093425,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),moderate
NVP-AUY922,1.11,38.88047320531949,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),moderate
camptothecin,1.11,36.51301204785123,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),moderate
methotrexate,10.0,34.94988024007661,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),moderate
lestaurtinib,10.0,34.80151819186538,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),moderate
GDC-0941,10.0,34.54309298169484,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),moderate
epirubicin,10.0,33.23360259698978,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),moderate
gemcitabine,10.0,32.40287774785468,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),moderate
SN-38,1.11,31.381721419682997,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),moderate
staurosporine,10.0,30.514485668670666,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),moderate
topotecan,1.11,28.41245113612098,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),low
nutlin-3,10.0,28.234537151203178,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),low
tanespimycin,10.0,27.41609725779748,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),low
lapatinib,10.0,27.212579149187373,CCL2(26); PPARG(20); CASP3(15); KDM5A(12); CHEK1(12),low
