drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,1.11,100.0,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),very_high
temsirolimus,1.11,100.0,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),very_high
paclitaxel,10.0,67.40150476704353,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),high
docetaxel,1.11,67.30341409407501,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),high
vinorelbine,10.0,51.18780903616703,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),high
vinblastine,10.0,49.79444772726276,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),moderate
NVP-BEZ235,10.0,35.36515342570914,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),moderate
NVP-AUY922,1.11,34.49884570946794,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),moderate
lestaurtinib,10.0,34.490200044570756,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),moderate
methotrexate,10.0,34.197563783819554,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),moderate
epirubicin,10.0,32.79217339733581,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),moderate
gemcitabine,10.0,31.533889991456185,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),moderate
camptothecin,1.11,31.152239270105945,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),moderate
staurosporine,10.0,30.234334115216146,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),moderate
GDC-0941,10.0,29.77178199909099,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),low
tanespimycin,10.0,26.598011695109335,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),low
SN-38,1.11,25.84802729504805,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),low
nutlin-3,10.0,25.535002218226452,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),low
lapatinib,10.0,23.045734941139877,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),low
navitoclax,10.0,22.953086300754933,CCL2(37); JUN(36); EGR1(21); PMAIP1(11); CASP3(10),low
