drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),very_high
sirolimus,1.11,98.93300653098501,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),very_high
paclitaxel,10.0,66.21933272458969,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),high
docetaxel,1.11,66.12124205162117,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),high
vinorelbine,10.0,50.00914661132704,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),high
vinblastine,10.0,48.615785302422765,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),moderate
NVP-BEZ235,10.0,34.182981383255346,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),moderate
NVP-AUY922,1.11,33.31667366701415,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),moderate
lestaurtinib,10.0,33.30802800211696,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),moderate
methotrexate,10.0,33.01539174136576,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),moderate
epirubicin,10.0,31.61000135488194,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),moderate
gemcitabine,10.0,30.35171794900238,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),moderate
camptothecin,1.11,29.97006722765214,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),low
GDC-0941,10.0,28.589609956637187,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),low
staurosporine,10.0,28.456915480993885,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),low
tanespimycin,10.0,25.41583965265553,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),low
SN-38,1.11,24.665855252594245,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),low
nutlin-3,10.0,24.35283017577265,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),low
navitoclax,10.0,21.774144184012123,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),low
lapatinib,10.0,21.69756881527773,RB1(23); CHEK1(20); HES1(18); JUN(17); CCL2(17),low
