drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.12,100.0,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),very_high
sirolimus,1.11,100.0,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),very_high
docetaxel,1.11,67.44498648514926,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),high
paclitaxel,10.0,67.1130968666184,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),high
vinorelbine,10.0,51.60547291078596,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),high
vinblastine,10.0,50.21211160188168,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),high
NVP-BEZ235,10.0,35.79410251019236,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),moderate
NVP-AUY922,1.11,35.12173555585776,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),moderate
lestaurtinib,10.0,34.919149129053984,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),moderate
methotrexate,10.0,34.62651286830278,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),moderate
epirubicin,10.0,33.22112248181903,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),moderate
camptothecin,1.11,31.792121716890104,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),moderate
gemcitabine,10.0,31.66678101526848,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),moderate
staurosporine,10.0,30.068036607930914,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),moderate
GDC-0941,10.0,29.95997277103288,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),low
tanespimycin,10.0,27.007225179722333,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),low
SN-38,1.11,26.487909741832176,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),low
nutlin-3,10.0,25.919882686262007,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),low
topotecan,1.11,23.5186394582702,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),low
navitoclax,10.0,23.382035385238165,CCL2(35); RB1(31); KDM5A(30); GATA3(23); JUN(20),low
