drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.62361186040751,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),very_high
docetaxel,10.0,61.1968835117637,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),high
vinorelbine,10.0,53.52520145851002,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),high
vinblastine,10.0,49.03303845771708,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),moderate
temsirolimus,10.0,43.830097902213225,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),moderate
methotrexate,10.0,43.47532171773934,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),moderate
MG-132,10.0,32.87013551782226,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),moderate
lestaurtinib,10.0,30.098623761220452,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),moderate
navitoclax,10.0,28.118265876887296,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),low
lapatinib,10.0,27.65032887979125,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),low
bortezomib,10.0,26.954133311458772,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),low
foretinib,10.0,24.888001424643047,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),low
AZD-6482,10.0,24.594620362225044,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),low
ABT-737,10.0,24.18753484287157,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),low
staurosporine,10.0,23.159666864709216,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),low
MK-1775,10.0,23.114379630272158,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),low
gemcitabine,10.0,21.11071560448494,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),low
sorafenib,10.0,20.65274171452237,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),low
epirubicin,10.0,19.34888026357608,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),low
nilotinib,10.0,18.507541735075428,SRC(28); PPARG(26); HES1(22); CCL2(13); CASP3(12),low
