drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.46024525575733,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),high
docetaxel,10.0,59.03351690711353,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),high
vinorelbine,10.0,51.474177068315335,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),high
vinblastine,10.0,46.98201406752241,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),moderate
temsirolimus,10.0,43.52055709665434,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),moderate
methotrexate,10.0,42.75812428676316,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),moderate
MG-132,10.0,32.58162870887377,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),moderate
lestaurtinib,10.0,29.626068632702964,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),low
navitoclax,10.0,28.41992906405234,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),low
lapatinib,10.0,26.315942819222663,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),low
bortezomib,10.0,25.47465150435834,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),low
ABT-737,10.0,24.489198030036615,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),low
AZD-6482,10.0,23.147343966234637,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),low
staurosporine,10.0,22.687111736191714,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),low
foretinib,10.0,21.852314235008976,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),low
MK-1775,10.0,21.45231006417701,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),low
gemcitabine,10.0,19.539048211666852,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),low
epirubicin,10.0,18.87632513505858,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),low
sorafenib,10.0,18.26206435601077,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),low
nilotinib,10.0,15.785687055433963,PMAIP1(24); EGR1(19); SRC(18); CCND1(15); AKT1(12),low
