drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.70904906263836,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),high
docetaxel,10.0,59.28232071399458,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),high
vinorelbine,10.0,51.600373290809316,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),high
vinblastine,10.0,47.10821029001639,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),moderate
temsirolimus,10.0,43.960585829140925,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),moderate
methotrexate,10.0,42.884320509257144,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),moderate
MG-132,10.0,32.70782493136775,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),moderate
lestaurtinib,10.0,29.752264855196955,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),low
navitoclax,10.0,28.54612528654634,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),low
lapatinib,10.0,26.057644495725565,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),low
bortezomib,10.0,25.60084772685234,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),low
ABT-737,10.0,24.615394252530614,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),low
AZD-6482,10.0,23.273540188728628,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),low
staurosporine,10.0,22.813307958685705,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),low
foretinib,10.0,22.292342967495575,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),low
MK-1775,10.0,21.31661932506698,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),low
gemcitabine,10.0,19.665244434160844,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),low
epirubicin,10.0,19.00252135755257,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),low
sorafenib,10.0,17.672588711383803,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),low
nilotinib,10.0,15.91188327792797,CCND1(24); KDM5A(14); CCL2(11); PPARG(11); CDKN1B(8),low
