drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),very_high
sirolimus,1.11,100.0,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),very_high
docetaxel,1.11,67.29859777462771,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),high
paclitaxel,10.0,66.6028316530311,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),high
vinorelbine,10.0,50.44003803380372,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),high
vinblastine,10.0,49.046676724899434,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),moderate
NVP-BEZ235,10.0,35.136980747298836,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),moderate
NVP-AUY922,1.11,34.54493150166976,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),moderate
methotrexate,10.0,33.93654402037092,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),moderate
lestaurtinib,10.0,33.62959915727815,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),moderate
epirubicin,10.0,32.061683562402514,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),moderate
gemcitabine,10.0,31.435828365405232,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),moderate
camptothecin,1.11,31.239432325333418,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),moderate
staurosporine,10.0,29.393633677607333,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),low
GDC-0941,10.0,29.041292164157728,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),low
tanespimycin,10.0,26.4629333017581,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),low
SN-38,1.11,25.93522035027553,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),low
nutlin-3,10.0,25.386038480526523,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),low
topotecan,1.11,22.965950066713553,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),low
navitoclax,10.0,22.83774350727393,CCL2(21); PPARG(18); KDM5A(17); EGR1(8); HES1(7),low
