drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.14718258089901,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),high
docetaxel,10.0,58.72045423225524,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),high
vinorelbine,10.0,51.37155102315838,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),high
vinblastine,10.0,46.87938802236545,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),moderate
temsirolimus,10.0,43.05842310761781,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),moderate
methotrexate,10.0,42.48889582280718,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),moderate
MG-132,10.0,31.80566220984463,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),moderate
lestaurtinib,10.0,28.850102133673815,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),low
navitoclax,10.0,27.122934671711544,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),low
lapatinib,10.0,25.539976320193542,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),low
bortezomib,10.0,24.698685005329214,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),low
ABT-737,10.0,23.19220363769582,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),low
AZD-6482,10.0,22.37137746720551,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),low
staurosporine,10.0,21.911145237162586,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),low
foretinib,10.0,21.542492806532938,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),low
MK-1775,10.0,20.465906935446547,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),low
gemcitabine,10.0,18.763081712637725,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),low
sorafenib,10.0,18.159438310853815,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),low
epirubicin,10.0,18.10035863602945,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),low
nilotinib,10.0,15.683061010276985,PPARG(29); SRC(17); CASP3(17); CCND1(17); AKT1(15),low
