drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.9451925425835,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),high
docetaxel,10.0,59.51846419393975,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),high
vinorelbine,10.0,51.836516770754486,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),high
vinblastine,10.0,47.34435376996156,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),moderate
methotrexate,10.0,43.75283116351586,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),moderate
temsirolimus,10.0,43.09349752145861,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),moderate
MG-132,10.0,33.115447897967776,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),moderate
lestaurtinib,10.0,28.830537299918127,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),low
navitoclax,10.0,27.604001123426833,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),low
lapatinib,10.0,26.749272413305746,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),low
bortezomib,10.0,25.96262034603791,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),low
ABT-737,10.0,23.67327008941111,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),low
AZD-6482,10.0,23.635312807914204,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),low
foretinib,10.0,22.482636100026284,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),low
MK-1775,10.0,22.062886490243645,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),low
staurosporine,10.0,21.946219651003396,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),low
gemcitabine,10.0,20.02701705334642,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),low
sorafenib,10.0,18.523914463438995,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),low
epirubicin,10.0,18.11503644202954,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),low
nilotinib,10.0,16.102176410458664,RB1(22); CCND1(14); EGR1(14); HMGCR(11); CDK1(11),low
