drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.05407299954352,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),very_high
docetaxel,10.0,60.62734465089971,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),high
vinorelbine,10.0,52.97760263882446,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),high
vinblastine,10.0,48.48543963803153,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),moderate
methotrexate,10.0,44.939767379000294,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),moderate
temsirolimus,10.0,43.933335566559144,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),moderate
MG-132,10.0,34.256533766037755,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),moderate
lestaurtinib,10.0,29.670375345018677,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),low
navitoclax,10.0,28.464235776368074,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),low
lapatinib,10.0,27.936208628790187,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),low
bortezomib,10.0,27.14955656152235,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),low
AZD-6482,10.0,24.777455863382322,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),low
ABT-737,10.0,24.533504742352356,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),low
foretinib,10.0,23.669572315510724,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),low
MK-1775,10.0,23.217617294618062,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),low
staurosporine,10.0,22.786057696103924,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),low
gemcitabine,10.0,21.213953268830853,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),low
sorafenib,10.0,19.710850678923443,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),low
epirubicin,10.0,18.975271094970783,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),low
nilotinib,10.0,17.289112625943112,EGR1(37); CCL2(19); HDAC2(18); JUN(11); CDK1(11),low
