drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),very_high
sirolimus,0.37,100.0,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),very_high
docetaxel,1.11,67.58427254746677,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),high
paclitaxel,10.0,67.25238292893592,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),high
vinorelbine,10.0,51.705142071318804,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),high
vinblastine,10.0,50.31178076241452,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),high
NVP-BEZ235,10.0,35.75237540850156,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),moderate
NVP-AUY922,1.11,35.210119506526304,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),moderate
lestaurtinib,10.0,34.87742202736318,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),moderate
methotrexate,10.0,34.714896818971326,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),moderate
epirubicin,10.0,33.30950643248757,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),moderate
camptothecin,1.11,31.85667957196305,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),moderate
gemcitabine,10.0,31.755164965937,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),moderate
staurosporine,10.0,30.621556098008544,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),moderate
GDC-0941,10.0,30.0483567217014,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),moderate
tanespimycin,10.0,27.115344730261093,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),low
SN-38,1.11,26.55246759690509,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),low
nutlin-3,10.0,26.05916874857951,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),low
topotecan,1.11,23.583197313343113,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),low
lapatinib,10.0,23.563067976291627,ERBB2(25); KDM5A(22); RB1(16); CCL2(12); HDAC2(12),low
