drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),very_high
sirolimus,0.37,100.0,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),very_high
docetaxel,1.11,67.75432193687352,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),high
paclitaxel,10.0,67.05855581527692,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),high
vinorelbine,10.0,51.09314736498791,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),high
vinblastine,10.0,49.69978605608362,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),moderate
NVP-AUY922,1.11,35.444292751607975,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),moderate
NVP-BEZ235,10.0,35.37979912572339,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),moderate
lestaurtinib,10.0,34.51873117099505,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),moderate
methotrexate,10.0,34.34232053619316,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),moderate
epirubicin,10.0,32.796636977252746,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),moderate
camptothecin,1.11,31.7838442340263,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),moderate
gemcitabine,10.0,31.538353571373143,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),moderate
staurosporine,10.0,30.248979815230427,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),moderate
GDC-0941,10.0,29.971838499594213,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),low
SN-38,1.11,26.81046693758242,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),low
tanespimycin,10.0,26.723032847612735,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),low
nutlin-3,10.0,25.63569035415241,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),low
topotecan,1.11,23.510361975406354,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),low
lapatinib,10.0,23.28890952325953,EGR1(43); KDM5A(37); JUN(33); PPARG(29); CCL2(18),low
