drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),very_high
sirolimus,1.11,99.53060431355901,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),very_high
docetaxel,1.11,66.71883983419517,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),high
paclitaxel,10.0,66.02307371259856,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),high
vinorelbine,10.0,49.8093779817221,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),moderate
vinblastine,10.0,48.41601667281782,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),moderate
NVP-BEZ235,10.0,33.9867223712642,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),moderate
NVP-AUY922,1.11,33.91427144958814,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),moderate
lestaurtinib,10.0,33.111768990125825,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),moderate
methotrexate,10.0,32.81913272937459,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),moderate
epirubicin,10.0,31.41374234289081,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),moderate
camptothecin,1.11,30.56766501022614,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),moderate
gemcitabine,10.0,30.155458937011243,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),moderate
staurosporine,10.0,28.855903060771205,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),low
GDC-0941,10.0,28.39335094464605,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),low
SN-38,1.11,25.263453035168244,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),low
tanespimycin,10.0,25.2195806406644,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),low
nutlin-3,10.0,24.156571163781518,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),low
topotecan,1.11,22.294182751606268,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),low
lapatinib,10.0,21.667303886694935,CASP3(18); KDM5A(17); EGR1(15); AXIN1(13); IKBKB(8),low
