drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),very_high
sirolimus,1.11,99.12580275683044,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),very_high
docetaxel,1.11,66.3140382774666,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),high
paclitaxel,10.0,65.61827215586999,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),high
vinorelbine,10.0,49.40808604260736,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),moderate
vinblastine,10.0,48.014724733703076,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),moderate
NVP-BEZ235,10.0,33.58192081453566,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),moderate
NVP-AUY922,1.11,33.5094698928596,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),moderate
lestaurtinib,10.0,32.70696743339728,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),moderate
methotrexate,10.0,32.41433117264602,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),moderate
epirubicin,10.0,31.00894078616226,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),moderate
camptothecin,1.11,30.16286345349759,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),moderate
gemcitabine,10.0,29.750657380282693,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),low
staurosporine,10.0,28.451101504042654,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),low
GDC-0941,10.0,27.988549387917498,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),low
SN-38,1.11,24.858651478439693,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),low
tanespimycin,10.0,24.81477908393585,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),low
nutlin-3,10.0,23.751769607052967,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),low
topotecan,1.11,21.889381194877718,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),low
navitoclax,10.0,21.31931501620099,CHEK1(27); HDAC2(20); PMAIP1(16); CDK4(15); ERBB2(14),low
