drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,73.65815636672757,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),very_high
docetaxel,10.0,64.23142801808376,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),high
vinorelbine,10.0,55.965753590548324,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),high
vinblastine,10.0,51.47359058975539,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),high
temsirolimus,10.0,48.41025000264966,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),moderate
methotrexate,10.0,46.42838443852522,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),moderate
MG-132,10.0,35.98449244747085,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),moderate
lestaurtinib,10.0,34.793762192740736,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),moderate
navitoclax,10.0,32.35460488421361,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),moderate
lapatinib,10.0,30.979415372055676,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),moderate
bortezomib,10.0,30.127951893323687,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),moderate
ABT-737,10.0,28.42387385019788,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),low
foretinib,10.0,28.248167390176857,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),low
staurosporine,10.0,27.90944454382592,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),low
AZD-6482,10.0,27.78805660629367,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),low
MK-1775,10.0,26.38965006383347,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),low
gemcitabine,10.0,24.444912791972637,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),low
epirubicin,10.0,24.21057026726444,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),low
sorafenib,10.0,24.168254909335957,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),low
nilotinib,10.0,21.638588923088186,KDM5A(30); HES1(21); CCL2(20); SRC(16); PMAIP1(15),low
