drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.44587948219056,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),very_high
docetaxel,10.0,61.019151133546764,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),high
vinorelbine,10.0,53.36940912147152,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),high
vinblastine,10.0,48.87724612067859,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),moderate
methotrexate,10.0,44.61238306036072,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),moderate
temsirolimus,10.0,43.67219820317474,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),moderate
MG-132,10.0,33.97499979481264,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),moderate
lestaurtinib,10.0,29.409237981634252,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),low
navitoclax,10.0,28.18270180514296,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),low
lapatinib,10.0,27.608824310150613,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),low
bortezomib,10.0,26.822172242882775,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),low
AZD-6482,10.0,24.450071544742748,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),low
ABT-737,10.0,24.25197077112724,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),low
foretinib,10.0,24.01552845074332,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),low
MK-1775,10.0,22.89023297597849,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),low
staurosporine,10.0,22.52492033271952,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),low
gemcitabine,10.0,20.88656895019128,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),low
sorafenib,10.0,20.056806814156033,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),low
epirubicin,10.0,18.693737123745667,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),low
nilotinib,10.0,17.635068761175702,CCL2(37); SRC(19); PPARG(18); CCND1(16); EGR1(16),low
