drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),very_high
sirolimus,0.37,100.0,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),very_high
docetaxel,1.11,68.1402546270967,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),high
paclitaxel,10.0,67.80836500856584,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),high
vinorelbine,10.0,51.02560125375078,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),high
vinblastine,10.0,49.632239944846496,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),moderate
NVP-BEZ235,10.0,36.81581588992692,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),moderate
NVP-AUY922,1.11,36.26672649275036,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),moderate
lestaurtinib,10.0,35.94086250878854,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),moderate
epirubicin,10.0,34.21876831504624,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),moderate
methotrexate,10.0,33.527897599607854,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),moderate
camptothecin,1.11,32.945819385194696,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),moderate
gemcitabine,10.0,32.114201769440626,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),moderate
staurosporine,10.0,31.684996579433967,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),moderate
GDC-0941,10.0,30.598230964077725,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),moderate
SN-38,1.11,27.641607410136743,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),low
tanespimycin,10.0,27.62856013263141,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),low
nutlin-3,10.0,25.930686038216354,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),low
topotecan,1.11,24.672337126574767,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),low
lapatinib,10.0,24.16824196679755,KDM5A(35); RB1(31); HES1(17); AXIN1(15); PMAIP1(12),low
