drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),very_high
sirolimus,1.11,99.63239387887869,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),very_high
docetaxel,1.11,66.80334823208479,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),high
paclitaxel,10.0,66.10758211048818,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),high
vinorelbine,10.0,49.879091552133616,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),moderate
vinblastine,10.0,48.485730243229334,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),moderate
NVP-BEZ235,10.0,34.08851193658387,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),moderate
NVP-AUY922,1.11,33.998779847477756,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),moderate
lestaurtinib,10.0,33.213558555445495,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),moderate
methotrexate,10.0,32.90364112726418,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),moderate
epirubicin,10.0,31.515531908210484,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),moderate
camptothecin,1.11,30.69328067114142,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),moderate
gemcitabine,10.0,30.257248502330917,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),moderate
staurosporine,10.0,28.940411458660822,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),low
GDC-0941,10.0,28.495140509965722,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),low
SN-38,1.11,25.389068696083523,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),low
tanespimycin,10.0,25.304089038554018,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),low
nutlin-3,10.0,24.25836072910119,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),low
topotecan,1.11,22.419798412521548,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),low
lapatinib,10.0,22.181064792944667,KDM5A(16); JUN(13); IKBKB(10); EGR1(9); HDAC6(8),low
