drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),very_high
sirolimus,1.11,99.40052076773412,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),very_high
docetaxel,1.11,66.57147512094022,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),high
paclitaxel,10.0,65.87570899934362,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),high
vinorelbine,10.0,49.665522886080964,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),moderate
vinblastine,10.0,48.27216157717668,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),moderate
NVP-BEZ235,10.0,33.85663882543932,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),moderate
NVP-AUY922,1.11,33.766906736333205,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),moderate
lestaurtinib,10.0,32.98168544430094,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),moderate
methotrexate,10.0,32.67176801611963,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),moderate
epirubicin,10.0,31.28365879706593,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),moderate
camptothecin,1.11,30.43758146440126,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),moderate
gemcitabine,10.0,30.025375391186362,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),moderate
staurosporine,10.0,28.708538347516267,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),low
GDC-0941,10.0,28.318567146950762,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),low
SN-38,1.11,25.133369489343362,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),low
tanespimycin,10.0,25.072215927409463,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),low
nutlin-3,10.0,24.026487617956636,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),low
topotecan,1.11,22.164099205781387,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),low
lapatinib,10.0,21.949191681800112,RB1(38); KDM5A(15); CASP3(12); DNMT1(12); CDK4(11),low
