drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,72.58179744761496,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),very_high
docetaxel,10.0,63.15506909897116,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),high
vinorelbine,10.0,54.95882684838872,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),high
vinblastine,10.0,50.67606721410441,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),high
methotrexate,10.0,48.082463732811505,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),moderate
temsirolimus,10.0,46.689208454380555,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),moderate
MG-132,10.0,38.29451379837689,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),moderate
lestaurtinib,10.0,34.00791307688394,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),moderate
lapatinib,10.0,32.5580846483281,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),moderate
bortezomib,10.0,31.432455045791087,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),moderate
navitoclax,10.0,31.14006706221091,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),moderate
AZD-6482,10.0,28.416142854180993,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),low
staurosporine,10.0,27.35007247026672,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),low
ABT-737,10.0,27.209336028195185,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),low
MK-1775,10.0,26.883136372253496,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),low
foretinib,10.0,26.707789989875984,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),low
gemcitabine,10.0,25.644199522110092,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),low
epirubicin,10.0,23.54250786691218,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),low
sorafenib,10.0,23.01110251677797,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),low
tanespimycin,10.0,21.123317221084726,CCL2(42); PPARG(21); HDAC2(14); EGR1(14); CDK4(12),low
