drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),very_high
sirolimus,1.11,99.28190481985546,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),very_high
docetaxel,1.11,66.46330684529032,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),high
paclitaxel,10.0,65.76754072369371,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),high
vinorelbine,10.0,49.55384499281724,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),moderate
vinblastine,10.0,48.16048368391296,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),moderate
NVP-AUY922,1.11,33.66557195588459,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),moderate
NVP-BEZ235,10.0,33.60107832999999,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),moderate
lestaurtinib,10.0,32.72612494886162,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),moderate
methotrexate,10.0,32.56359974046971,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),moderate
epirubicin,10.0,31.158209353985963,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),moderate
camptothecin,1.11,30.3121320213213,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),moderate
gemcitabine,10.0,29.899925948106404,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),low
staurosporine,10.0,28.47025901950701,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),low
GDC-0941,10.0,28.137817955741202,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),low
SN-38,1.11,25.007920046263397,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),low
tanespimycin,10.0,24.96404765175956,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),low
nutlin-3,10.0,23.907871670077977,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),low
topotecan,1.11,22.03864976270142,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),low
lapatinib,10.0,21.841023406150203,PPARG(48); RB1(40); KDM5A(18); CASP3(16); HDAC2(15),low
