drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),very_high
sirolimus,1.11,99.46771492651605,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),very_high
docetaxel,1.11,66.64911695195092,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),high
paclitaxel,10.0,65.95335083035431,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),high
vinorelbine,10.0,49.743164717091624,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),moderate
vinblastine,10.0,48.34980340818734,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),moderate
NVP-BEZ235,10.0,33.91699948901992,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),moderate
NVP-AUY922,1.11,33.85138206254517,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),moderate
lestaurtinib,10.0,33.042046107881546,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),moderate
methotrexate,10.0,32.749409847130316,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),moderate
epirubicin,10.0,31.189840861779835,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),moderate
camptothecin,1.11,30.497942127981887,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),moderate
gemcitabine,10.0,29.931557455900275,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),low
staurosporine,10.0,28.786180178526944,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),low
GDC-0941,10.0,28.323628062401788,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),low
SN-38,1.11,25.193730152923983,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),low
tanespimycin,10.0,25.14985775842014,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),low
nutlin-3,10.0,24.093681776738563,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),low
topotecan,1.11,22.224459869362008,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),low
lapatinib,10.0,22.02683351281079,KDM5A(17); JUN(16); HSPB1(12); AKT1(10); CHEK1(9),low
