drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.4250866631696,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),high
docetaxel,10.0,59.99835831452584,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),high
vinorelbine,10.0,52.316410891340574,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),high
vinblastine,10.0,47.824247890547646,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),moderate
methotrexate,10.0,43.33315603525936,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),moderate
temsirolimus,10.0,42.392971178073374,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),moderate
MG-132,10.0,32.695772769711276,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),moderate
lestaurtinib,10.0,28.18465020412935,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),low
navitoclax,10.0,26.85472600140228,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),low
lapatinib,10.0,26.384236532645705,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),low
bortezomib,10.0,25.542945217781384,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),low
AZD-6482,10.0,23.21563767965768,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),low
foretinib,10.0,22.962530220612347,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),low
ABT-737,10.0,22.923994967386555,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),low
MK-1775,10.0,21.64321136198712,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),low
staurosporine,10.0,21.245693307618136,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),low
gemcitabine,10.0,19.607341925089894,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),low
sorafenib,10.0,19.058447831621542,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),low
epirubicin,10.0,17.41451009864429,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),low
nilotinib,10.0,16.582070531044728,EGR1(24); PMAIP1(22); KDM5A(12); CHEK1(11); AKT1(11),low
