drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,74.22699999297254,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),very_high
docetaxel,10.0,64.8002716443288,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),high
vinorelbine,10.0,56.58208935256783,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),high
vinblastine,10.0,52.29932971828352,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),high
temsirolimus,10.0,47.85351056902379,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),moderate
methotrexate,10.0,47.81931089528451,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),moderate
MG-132,10.0,38.15525872130983,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),moderate
lestaurtinib,10.0,35.64906202447838,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),moderate
lapatinib,10.0,33.41885847546664,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),moderate
bortezomib,10.0,32.438324619461504,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),moderate
navitoclax,10.0,32.089989112517856,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),moderate
AZD-6482,10.0,29.409424678945115,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),low
staurosporine,10.0,28.9912214178612,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),low
foretinib,10.0,28.95603243608745,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),low
ABT-737,10.0,28.15925807850217,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),low
MK-1775,10.0,27.981191531641596,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),low
gemcitabine,10.0,26.742254681498192,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),low
sorafenib,10.0,25.259344962989445,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),low
epirubicin,10.0,25.163260206665942,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),low
nilotinib,10.0,23.006217050275062,EGR1(48); HES1(41); CCL2(40); PPARG(38); RB1(24),low
