drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.06285186498806,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),high
docetaxel,10.0,59.63612351634427,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),high
vinorelbine,10.0,51.98638150426902,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),high
vinblastine,10.0,47.49421850347609,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),moderate
temsirolimus,10.0,44.53847013709622,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),moderate
methotrexate,10.0,43.90269589703039,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),moderate
MG-132,10.0,33.26531263148232,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),moderate
lestaurtinib,10.0,30.275509915555762,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),moderate
navitoclax,10.0,29.048973739064426,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),low
lapatinib,10.0,26.899137146820284,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),low
bortezomib,10.0,26.112485079552446,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),low
ABT-737,10.0,25.118242705048708,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),low
AZD-6482,10.0,23.752972130318724,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),low
staurosporine,10.0,23.39119226664099,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),low
foretinib,10.0,22.63250083354082,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),low
MK-1775,10.0,22.180545812648152,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),low
gemcitabine,10.0,20.17688178686095,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),low
epirubicin,10.0,19.560009057667134,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),low
sorafenib,10.0,18.673779196953532,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),low
nilotinib,10.0,16.2520411439732,HDAC2(16); HES1(15); RB1(14); CCL2(14); SRC(13),low
