drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),very_high
sirolimus,1.11,100.0,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),very_high
docetaxel,1.11,67.05278056142906,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),high
paclitaxel,10.0,66.72089094289821,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),high
vinorelbine,10.0,51.173650085281096,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),high
vinblastine,10.0,49.780288776376814,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),moderate
NVP-BEZ235,10.0,35.350994474823196,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),moderate
NVP-AUY922,1.11,34.67179402528729,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),moderate
lestaurtinib,10.0,34.47604109368482,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),moderate
methotrexate,10.0,34.18340483293362,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),moderate
epirubicin,10.0,32.77801444644985,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),moderate
camptothecin,1.11,31.32518758592532,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),moderate
gemcitabine,10.0,31.223672979899312,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),moderate
staurosporine,10.0,29.624928572561746,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),low
GDC-0941,10.0,29.46156498753411,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),low
tanespimycin,10.0,26.5838527442234,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),low
SN-38,1.11,26.020975610867403,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),low
nutlin-3,10.0,25.520843267340517,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),low
navitoclax,10.0,23.088388676488538,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),low
topotecan,1.11,23.051705327305427,RB1(27); CHEK1(24); CCL2(21); SRC(16); HSPB1(16),low
