drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),very_high
sirolimus,1.11,99.5751528023994,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),very_high
docetaxel,1.11,66.3097280800029,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),high
paclitaxel,10.0,65.977838461472,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),high
vinorelbine,10.0,50.481499715503936,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),high
vinblastine,10.0,49.088138406599654,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),moderate
NVP-AUY922,1.11,35.30122931042434,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),moderate
methotrexate,10.0,35.20959718762996,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),moderate
NVP-BEZ235,10.0,34.949604784877344,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),moderate
lestaurtinib,10.0,33.67106083897837,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),moderate
epirubicin,10.0,33.26371880494895,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),moderate
gemcitabine,10.0,32.11296790315903,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),moderate
camptothecin,1.11,31.99076987509744,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),moderate
staurosporine,10.0,31.11625646666723,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),moderate
GDC-0941,10.0,30.10144794489994,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),moderate
tanespimycin,10.0,27.590309499049532,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),low
SN-38,1.11,26.68655790003948,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),low
nutlin-3,10.0,26.52024817301926,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),low
lapatinib,10.0,24.057768344950315,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),low
navitoclax,10.0,23.968349630276357,AKT1(24); JUN(19); KDM5A(17); CCL2(17); RB1(16),low
