drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.12,100.0,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),very_high
sirolimus,1.11,100.0,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),very_high
docetaxel,1.11,67.36997344037229,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),high
paclitaxel,10.0,66.67420731877569,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),high
vinorelbine,10.0,50.51141369954814,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),high
vinblastine,10.0,49.11805239064386,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),moderate
NVP-AUY922,1.11,34.62314066261549,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),moderate
NVP-BEZ235,10.0,34.558647036730896,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),moderate
lestaurtinib,10.0,33.68369365559252,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),moderate
methotrexate,10.0,33.52116844720063,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),moderate
epirubicin,10.0,32.1157780607169,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),moderate
camptothecin,1.11,31.269700728052232,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),moderate
gemcitabine,10.0,30.85749465483733,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),moderate
staurosporine,10.0,29.427827726237943,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),low
GDC-0941,10.0,29.095386662472134,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),low
SN-38,1.11,25.96548875299433,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),low
tanespimycin,10.0,25.901880758620244,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),low
nutlin-3,10.0,24.814538265159925,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),low
topotecan,1.11,22.996218469432353,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),low
lapatinib,10.0,22.36933960452102,CHEK1(19); JUN(16); GATA3(16); RB1(12); SMAD3(12),low
