drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.39056306274189,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),high
docetaxel,10.0,58.963834714098155,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),high
vinorelbine,10.0,51.31409270202291,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),high
vinblastine,10.0,46.82192970122998,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),moderate
methotrexate,10.0,42.38558715425725,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),moderate
temsirolimus,10.0,41.44540229707127,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),moderate
MG-132,10.0,31.748203888709174,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),moderate
lestaurtinib,10.0,27.23708132312727,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),low
navitoclax,10.0,26.01054514663597,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),low
lapatinib,10.0,25.436667651643617,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),low
bortezomib,10.0,24.595376336779296,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),low
AZD-6482,10.0,22.22327563863926,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),low
ABT-737,10.0,22.079814112620245,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),low
foretinib,10.0,21.960212031294702,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),low
MK-1775,10.0,20.663437069875016,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),low
staurosporine,10.0,20.29812442661605,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),low
gemcitabine,10.0,18.659773044087807,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),low
sorafenib,10.0,18.056129642303897,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),low
epirubicin,10.0,16.466941217642194,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),low
nilotinib,10.0,15.579752341727064,CCL2(29); PPARG(24); HSPA1A(23); CCND1(13); SRC(9),low
