drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.10873345915913,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),very_high
docetaxel,10.0,60.68200511051533,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),high
vinorelbine,10.0,52.43827072415833,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),high
vinblastine,10.0,47.9461077233654,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),moderate
temsirolimus,10.0,44.46255488479367,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),moderate
methotrexate,10.0,43.84189731758429,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),moderate
MG-132,10.0,33.31995791348446,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),moderate
lestaurtinib,10.0,30.423859489529942,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),moderate
navitoclax,10.0,28.655532470449643,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),low
lapatinib,10.0,27.32364083404566,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),low
bortezomib,10.0,26.272442361185334,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),low
ABT-737,10.0,24.724801436433918,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),low
foretinib,10.0,24.04985423434006,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),low
AZD-6482,10.0,23.932547074155323,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),low
staurosporine,10.0,23.484902593018706,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),low
MK-1775,10.0,22.44195494597746,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),low
gemcitabine,10.0,20.497217674116627,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),low
epirubicin,10.0,19.786028316457234,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),low
sorafenib,10.0,19.693403679965773,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),low
nilotinib,10.0,17.44027576725139,CCL2(20); CHEK1(16); PPARG(12); CCND1(11); CDK1(11),low
