drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),very_high
sirolimus,1.11,98.96121174828644,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),very_high
docetaxel,1.11,66.14261377372131,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),high
paclitaxel,10.0,65.4468476521247,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),high
vinorelbine,10.0,49.22186671138393,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),moderate
vinblastine,10.0,47.82850540247965,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),moderate
NVP-BEZ235,10.0,33.41049631079033,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),moderate
NVP-AUY922,1.11,33.34487888431558,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),moderate
lestaurtinib,10.0,32.53554292965195,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),moderate
methotrexate,10.0,32.242906668900694,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),moderate
epirubicin,10.0,30.837516282416946,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),moderate
camptothecin,1.11,29.991438949752276,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),low
gemcitabine,10.0,29.57923287653738,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),low
staurosporine,10.0,28.27967700029734,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),low
GDC-0941,10.0,27.87242463230178,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),low
SN-38,1.11,24.68722697469438,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),low
tanespimycin,10.0,24.643354580190536,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),low
nutlin-3,10.0,23.58717859850896,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),low
topotecan,1.11,21.717956691132404,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),low
lapatinib,10.0,21.520330334581185,CHEK1(23); CCL2(19); CASP3(19); KDM5A(16); AURKB(9),low
