drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),very_high
sirolimus,1.11,99.19092607270247,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),very_high
docetaxel,1.11,66.37817767272126,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),high
paclitaxel,10.0,65.68241155112466,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),high
vinorelbine,10.0,49.54384706999858,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),moderate
vinblastine,10.0,48.150485761094295,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),moderate
NVP-BEZ235,10.0,33.717681841926876,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),moderate
NVP-AUY922,1.11,33.64523092025082,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),moderate
lestaurtinib,10.0,32.85661388719854,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),moderate
methotrexate,10.0,32.55009220003724,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),moderate
epirubicin,10.0,31.158587239963545,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),moderate
camptothecin,1.11,30.322450576484442,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),moderate
gemcitabine,10.0,29.87958431359639,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),low
GDC-0941,10.0,28.17961016343834,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),low
staurosporine,10.0,27.991615939665444,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),low
SN-38,1.11,25.018238601426546,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),low
tanespimycin,10.0,24.930804511456856,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),low
nutlin-3,10.0,23.83662852279523,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),low
topotecan,1.11,22.04896831786457,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),low
navitoclax,10.0,21.284895196485106,RB1(48); KDM5A(33); PPARG(23); HSPB1(15); CDK4(13),low
