drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.9631652624757,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),high
docetaxel,10.0,60.53643691383191,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),high
vinorelbine,10.0,52.88669490175666,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),high
vinblastine,10.0,48.394531900963734,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),moderate
methotrexate,10.0,44.803009294518034,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),moderate
temsirolimus,10.0,43.862824437332065,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),moderate
MG-132,10.0,34.16562602896996,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),moderate
lestaurtinib,10.0,29.599864215791605,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),low
navitoclax,10.0,28.373328039300297,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),low
lapatinib,10.0,27.799450544307945,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),low
bortezomib,10.0,27.012798477040107,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),low
AZD-6482,10.0,24.64069777890008,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),low
ABT-737,10.0,24.44259700528458,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),low
foretinib,10.0,23.532814231028482,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),low
MK-1775,10.0,23.080859210135813,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),low
staurosporine,10.0,22.715546566876853,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),low
gemcitabine,10.0,21.07719518434861,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),low
sorafenib,10.0,19.574092594441193,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),low
epirubicin,10.0,18.884363357903,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),low
nilotinib,10.0,17.152354541460863,PPARG(18); CCL2(16); CDK4(16); EGR1(14); HES1(12),low
