drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.57895568844813,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),high
docetaxel,10.0,60.15222733980437,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),high
vinorelbine,10.0,52.652571613243495,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),high
vinblastine,10.0,48.16040861245057,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),moderate
temsirolimus,10.0,43.90038336348281,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),moderate
methotrexate,10.0,43.31083912474154,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),moderate
MG-132,10.0,33.08668279992976,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),moderate
lestaurtinib,10.0,30.131122723758956,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),moderate
navitoclax,10.0,28.924983155108325,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),low
lapatinib,10.0,26.623663360470143,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),low
bortezomib,10.0,25.93385524799987,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),low
ABT-737,10.0,24.9942521210926,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),low
AZD-6482,10.0,23.42425601325176,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),low
foretinib,10.0,23.298690942515268,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),low
staurosporine,10.0,23.1921658272477,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),low
MK-1775,10.0,21.851829695581202,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),low
gemcitabine,10.0,19.585025014572086,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),low
epirubicin,10.0,19.381379226114564,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),low
sorafenib,10.0,19.063431232394592,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),low
nilotinib,10.0,16.918231252947656,RB1(21); KDM5A(20); PPARG(16); CCL2(13); EGR1(13),low
